age,sex,exp,medians,junction,surface,light,weather,collision,car_movement,acc_cause,severity
31-50,Male,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with animals,Moving Backward,Changing lane to the right,2
Over 51,Male,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with animals,Getting off,Changing lane to the right,1
Over 51,Male,2-5yr,One way,No junction,Asphalt roads,Daylight,Normal,Collision with animals,Overtaking,Changing lane to the left,2
31-50,Male,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Other,Going straight,Changing lane to the left,2
Under 18,Male,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Rollover,Going straight,Getting off the vehicle improperly,2
31-50,Male,1-2yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with animals,Going straight,Overtaking,1
31-50,Male,2-5yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Rollover,Reversing,Changing lane to the left,1
Over 51,Male,1-2yr,Two-way (divided with broken lines road marking),Unknown,Asphalt roads,Daylight,Normal,Collision with animals,Getting off,Driving under the influence of drugs,2
Over 51,Male,5-10yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,Driving carelessly,2
Over 51,Male,5-10yr,Double carriageway (median),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,2
Over 51,Male,2-5yr,Two-way (divided with broken lines road marking),Crossing,Earth roads,Darkness - lights lit,Normal,Fall from vehicles,Going straight,No distancing,2
31-50,Male,Below 1yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside-parked vehicles,Reversing,No priority to vehicle,2
18-30,Male,Unknown,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside-parked vehicles,Going straight,Overturning,1
18-30,Male,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Rollover,Stopping,Changing lane to the left,1
31-50,Male,1-2yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with animals,Overtaking,No distancing,0
31-50,Male,5-10yr,other,No junction,Earth roads,Daylight,Normal,Collision with animals,Going straight,Moving Backward,0
18-30,Male,1-2yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Fall from vehicles,Reversing,No priority to vehicle,2
18-30,Male,Above 10yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Collision with roadside-parked vehicles,Going straight,No priority to vehicle,2
Over 51,Male,Below 1yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Collision with animals,Going straight,No distancing,2
Over 51,Male,2-5yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Collision with animals,Reversing,No distancing,2
18-30,Male,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,Overtaking,2
18-30,Male,5-10yr,One way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Waiting to go,Driving under the influence of drugs,2
31-50,Male,1-2yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
18-30,Male,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Changing lane to the left,2
Over 51,Male,Unknown,Double carriageway (median),No junction,Other,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,2
18-30,Male,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Moving Backward,2
31-50,Male,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Getting off,Moving Backward,2
18-30,Male,5-10yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
18-30,Male,2-5yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,2
18-30,Male,No Licence,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Rollover,Going straight,Driving at high speed,2
Over 51,Male,Above 10yr,other,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,Driving under the influence of drugs,2
31-50,Male,Above 10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Changing lane to the right,2
Under 18,Male,5-10yr,Two-way (divided with broken lines road marking),No junction,Earth roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
Under 18,Male,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - no lighting,Normal,Collision with pedestrians,Going straight,No distancing,1
Under 18,Male,2-5yr,Undivided Two way,No junction,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
Under 18,Male,Below 1yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - no lighting,Normal,Collision with roadside objects,Going straight,No distancing,1
Over 51,Male,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights unlit,Normal,Vehicle with vehicle collision,Getting off,No distancing,2
31-50,Male,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights unlit,Normal,Rollover,Going straight,Getting off the vehicle improperly,2
31-50,Male,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights unlit,Normal,Vehicle with vehicle collision,Going straight,Overtaking,2
18-30,Male,2-5yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,2
31-50,Male,Above 10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving under the influence of drugs,2
31-50,Male,5-10yr,Unknown,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,2
18-30,Male,Below 1yr,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Overturning,2
Unknown,Female,Below 1yr,other,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Driving under the influence of drugs,2
18-30,Male,Below 1yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
18-30,Male,5-10yr,other,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,2
18-30,Male,5-10yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,No distancing,2
31-50,Male,5-10yr,One way,No junction,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,Reversing,No distancing,2
18-30,Male,5-10yr,Two-way (divided with broken lines road marking),No junction,Earth roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,No priority to vehicle,2
18-30,Male,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Moving Backward,2
31-50,Male,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Unknown,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,2
18-30,Male,2-5yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Getting off the vehicle improperly,2
18-30,Male,Below 1yr,Two-way (divided with broken lines road marking),Other,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Changing lane to the left,1
Under 18,Male,2-5yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,2
Over 51,Male,2-5yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Reversing,No priority to vehicle,2
31-50,Male,2-5yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
18-30,Male,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Turnover,Changing lane to the right,2
18-30,Male,5-10yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,2
18-30,Male,Unknown,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,2
31-50,Male,5-10yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Changing lane to the right,2
Under 18,Male,2-5yr,One way,Y Shape,Gravel roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Driving under the influence of drugs,2
18-30,Male,Below 1yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Collision with pedestrians,Going straight,Driving carelessly,2
31-50,Male,1-2yr,other,No junction,Asphalt roads,Darkness - no lighting,Normal,Collision with roadside objects,Getting off,No distancing,1
18-30,Male,Below 1yr,other,Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Moving Backward,No priority to vehicle,2
31-50,Male,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,2
31-50,Male,Below 1yr,One way,Crossing,Asphalt roads,Darkness - lights lit,Raining,Rollover,Turnover,No priority to vehicle,1
31-50,Male,2-5yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Changing lane to the left,1
Under 18,Male,1-2yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Unknown,Moving Backward,1
Under 18,Male,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,1
18-30,Male,Below 1yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Driving under the influence of drugs,2
18-30,Male,Below 1yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
18-30,Male,Below 1yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,No priority to vehicle,2
18-30,Male,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Turnover,Changing lane to the right,2
18-30,Male,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Driving to the left,2
Under 18,Male,2-5yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Raining,Collision with roadside objects,Going straight,Moving Backward,2
18-30,Male,Below 1yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Getting off,No priority to vehicle,2
31-50,Male,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Getting off,No distancing,2
31-50,Male,5-10yr,Double carriageway (median),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,2
18-30,Male,5-10yr,Undivided Two way,No junction,Other,Darkness - lights lit,Raining and Windy,Vehicle with vehicle collision,Overtaking,Changing lane to the left,2
18-30,Male,2-5yr,Double carriageway (median),No junction,Asphalt roads,Darkness - lights lit,Raining and Windy,Collision with pedestrians,Reversing,No priority to vehicle,2
Unknown,Female,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Going straight,No priority to vehicle,2
31-50,Male,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Getting off,No distancing,2
31-50,Male,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Getting off,Driving to the left,2
Under 18,Male,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Reversing,Driving carelessly,2
Under 18,Male,Below 1yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Turnover,Driving carelessly,2
Under 18,Male,Below 1yr,One way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,Changing lane to the right,2
31-50,Male,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Other,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Driving carelessly,2
Over 51,Male,2-5yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,2
31-50,Male,Below 1yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,2
31-50,Male,2-5yr,Undivided Two way,Crossing,Asphalt roads,Darkness - no lighting,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,2
18-30,Male,5-10yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Reversing,Driving under the influence of drugs,2
18-30,Male,Above 10yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,2
Over 51,Male,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,No distancing,2
18-30,Male,5-10yr,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Driving carelessly,2
31-50,Male,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driving to the left,2
31-50,Male,5-10yr,Double carriageway (median),Y Shape,Unknown,Darkness - lights lit,Normal,Rollover,Getting off,Overtaking,2
Over 51,Male,5-10yr,Undivided Two way,Y Shape,Other,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
Over 51,Male,1-2yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving carelessly,2
18-30,Male,5-10yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,2
31-50,Male,Above 10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,No priority to vehicle,2
Over 51,Male,Below 1yr,other,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Reversing,No priority to vehicle,2
18-30,Male,5-10yr,Undivided Two way,Crossing,Asphalt roads with some distress,Darkness - lights lit,Raining,Vehicle with vehicle collision,Moving Backward,No priority to vehicle,2
18-30,Male,Above 10yr,One way,Crossing,Unknown,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,No distancing,2
18-30,Male,Below 1yr,other,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,Moving Backward,2
31-50,Male,1-2yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
31-50,Male,Above 10yr,other,No junction,Asphalt roads,Daylight,Other,Vehicle with vehicle collision,Going straight,Changing lane to the left,2
31-50,Male,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Changing lane to the left,2
31-50,Male,Above 10yr,One way,No junction,Earth roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,No priority to pedestrian,2
31-50,Male,No Licence,Undivided Two way,No junction,Asphalt roads,Daylight,Raining,Collision with roadside objects,Turnover,Moving Backward,2
18-30,Male,1-2yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,2
18-30,Male,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,No distancing,2
18-30,Male,Below 1yr,Double carriageway (median),Crossing,Asphalt roads,Darkness - no lighting,Raining,Vehicle with vehicle collision,Going straight,No priority to vehicle,2
18-30,Male,1-2yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Darkness - no lighting,Raining,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
31-50,Male,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
18-30,Male,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,No distancing,1
18-30,Male,Above 10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Getting off the vehicle improperly,2
Over 51,Male,2-5yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,No priority to pedestrian,2
31-50,Male,Above 10yr,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Moving Backward,Changing lane to the left,2
31-50,Male,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,No distancing,2
Unknown,Female,Unknown,One way,Crossing,Gravel roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,Driving carelessly,2
Over 51,Male,5-10yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,No distancing,2
18-30,Male,Below 1yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Windy,Vehicle with vehicle collision,Unknown,Changing lane to the right,2
31-50,Male,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Windy,Vehicle with vehicle collision,Turnover,Overtaking,2
18-30,Male,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Collision with pedestrians,Getting off,Driving carelessly,2
31-50,Male,2-5yr,Double carriageway (median),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Collision with pedestrians,Going straight,Moving Backward,2
31-50,Male,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Raining,Collision with pedestrians,Going straight,No distancing,2
31-50,Male,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Raining,Collision with roadside objects,Going straight,Overtaking,2
Over 51,Male,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Driving carelessly,1
18-30,Male,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Reversing,Driving carelessly,1
18-30,Male,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Moving Backward,Moving Backward,1
18-30,Male,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Other,Driving carelessly,1
18-30,Male,Above 10yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Driving to the left,1
18-30,Male,Unknown,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Windy,Vehicle with vehicle collision,Going straight,Changing lane to the left,2
Over 51,Male,5-10yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Collision with pedestrians,Going straight,No distancing,2
Unknown,Female,5-10yr,Double carriageway (median),Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Going straight,No distancing,2
Unknown,Female,Below 1yr,One way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
Unknown,Female,Unknown,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driving under the influence of drugs,2
Unknown,Female,5-10yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
Unknown,Female,5-10yr,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,2
Under 18,Male,Above 10yr,other,Y Shape,Asphalt roads,Daylight,Raining,With Train,Going straight,Moving Backward,2
18-30,Male,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Other,No distancing,2
18-30,Male,Above 10yr,Unknown,O Shape,Other,Darkness - no lighting,Raining,Vehicle with vehicle collision,Moving Backward,Changing lane to the right,2
18-30,Male,Above 10yr,Two-way (divided with broken lines road marking),O Shape,Unknown,Darkness - no lighting,Raining,Vehicle with vehicle collision,Going straight,Moving Backward,2
18-30,Male,Above 10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,No distancing,2
31-50,Male,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driving to the left,2
31-50,Male,5-10yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Moving Backward,Driving to the left,2
Unknown,Female,2-5yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown,Moving Backward,2
18-30,Male,Below 1yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Moving Backward,2
18-30,Male,Below 1yr,Double carriageway (median),Crossing,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,Overtaking,2
Over 51,Male,2-5yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Raining,Collision with pedestrians,Going straight,Driving carelessly,2
31-50,Male,Below 1yr,Double carriageway (median),Crossing,Asphalt roads,Daylight,Raining,Collision with roadside objects,Going straight,Changing lane to the left,2
18-30,Female,Below 1yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,Other,Driving under the influence of drugs,1
Over 51,Female,Unknown,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No distancing,1
Unknown,Female,5-10yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Moving Backward,2
18-30,Male,Below 1yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Changing lane to the left,2
18-30,Male,Below 1yr,other,Y Shape,Other,Daylight,Raining,Vehicle with vehicle collision,Moving Backward,Changing lane to the right,2
18-30,Male,1-2yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,Going straight,No distancing,2
31-50,Male,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Raining,Collision with roadside objects,Going straight,Driving at high speed,2
31-50,Male,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
31-50,Male,Below 1yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,2
18-30,Male,2-5yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other,No distancing,2
18-30,Male,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Turnover,2
18-30,Male,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,No distancing,2
18-30,Male,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Raining and Windy,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
18-30,Male,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Darkness - lights lit,Raining and Windy,Collision with pedestrians,Reversing,No distancing,2
18-30,Male,1-2yr,Two-way (divided with broken lines road marking),No junction,Other,Darkness - lights lit,Raining and Windy,Collision with pedestrians,Moving Backward,Changing lane to the left,2
31-50,Unknown,5-10yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Driving carelessly,2
18-30,Male,Below 1yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Changing lane to the right,2
18-30,Male,Below 1yr,Undivided Two way,Crossing,Unknown,Darkness - lights lit,Normal,Vehicle with vehicle collision,Reversing,No priority to vehicle,2
18-30,Male,Unknown,other,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
31-50,Male,Below 1yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Reversing,No priority to pedestrian,2
31-50,Male,1-2yr,Two-way (divided with solid lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Other,No priority to pedestrian,1
Over 51,Male,2-5yr,Two-way (divided with solid lines road marking),Y Shape,Earth roads,Daylight,Normal,Collision with roadside objects,Unknown,No priority to vehicle,1
Under 18,Male,1-2yr,Two-way (divided with solid lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,2
18-30,Male,5-10yr,Two-way (divided with solid lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the left,2
18-30,Male,Below 1yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
18-30,Male,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No priority to vehicle,2
18-30,Male,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
18-30,Male,Below 1yr,other,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,No distancing,2
31-50,Male,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Changing lane to the right,2
31-50,Male,5-10yr,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,Changing lane to the left,2
18-30,Male,2-5yr,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Raining,Vehicle with vehicle collision,Going straight,No distancing,2
18-30,Male,Above 10yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,Going straight,Overturning,2
Over 51,Male,5-10yr,One way,Crossing,Asphalt roads,Darkness - lights lit,Raining,Collision with roadside objects,Going straight,No priority to vehicle,2
